SEASON_ID_x,Player_ID,Game_ID,GAME_DATE_x,MATCHUP_x,WL_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PLUS_MINUS_x,VIDEO_AVAILABLE,PTS/48,SEASON_ID_y,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE_y,MATCHUP_y,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
22018,201566,0021801226,"APR 10, 2019",OKC @ MIL,W,36,7,10,0.7,1,3,0.333,0,2,0.0,0,11,11,17,1,1,4,3,15,6,1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,201566,0021801218,"APR 09, 2019",OKC vs. HOU,W,37,11,23,0.478,4,10,0.4,3,3,1.0,2,10,12,10,0,0,3,4,29,3,1,37.62162162162162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,201566,0021801197,"APR 07, 2019",OKC @ MIN,W,38,10,22,0.455,2,6,0.333,5,7,0.714,1,9,10,15,1,0,4,3,27,-1,1,34.10526315789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,201566,0021801186,"APR 05, 2019",OKC vs. DET,W,35,6,18,0.333,1,4,0.25,6,10,0.6,1,7,8,15,1,0,4,2,19,4,1,26.057142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,201566,0021801161,"APR 02, 2019",OKC vs. LAL,W,37,8,23,0.348,2,9,0.222,2,3,0.667,5,15,20,21,3,0,2,2,20,24,1,25.945945945945947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,201566,0021801146,"MAR 31, 2019",OKC vs. DAL,L,38,9,19,0.474,3,8,0.375,4,4,1.0,2,9,11,11,2,0,3,2,25,-3,1,31.578947368421055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,201566,0021801133,"MAR 29, 2019",OKC vs. DEN,L,36,11,22,0.5,1,5,0.2,4,5,0.8,3,6,9,9,2,0,3,3,27,-1,1,36.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801133,2019-03-29,OKC vs. DEN,L,239.0,105.0,43.0,88.0,0.489,8.0,27.0,0.296,11.0,16.0,0.688,11.0,24.0,35.0,19.0,5.0,5.0,13.0,17.0,-10.0
22018,201566,0021801119,"MAR 27, 2019",OKC vs. IND,W,37,6,15,0.4,2,4,0.5,3,4,0.75,1,10,11,12,2,1,2,0,17,8,1,22.054054054054056,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801119,2019-03-27,OKC vs. IND,W,240.0,107.0,41.0,92.0,0.446,13.0,36.0,0.361,12.0,19.0,0.632,9.0,35.0,44.0,29.0,7.0,7.0,6.0,14.0,8.0
22018,201566,0021801104,"MAR 25, 2019",OKC @ MEM,L,37,6,20,0.3,1,6,0.167,3,6,0.5,0,5,5,7,0,0,1,3,16,-20,1,20.756756756756758,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801104,2019-03-25,OKC @ MEM,L,241.0,103.0,38.0,95.0,0.4,12.0,36.0,0.333,15.0,20.0,0.75,12.0,29.0,41.0,17.0,8.0,4.0,10.0,25.0,-12.0
22018,201566,0021801083,"MAR 22, 2019",OKC @ TOR,W,37,6,20,0.3,2,9,0.222,4,5,0.8,4,8,12,13,4,1,3,3,18,18,1,23.351351351351354,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801083,2019-03-22,OKC @ TOR,W,240.0,116.0,42.0,94.0,0.447,20.0,43.0,0.465,12.0,14.0,0.857,12.0,27.0,39.0,30.0,9.0,6.0,12.0,21.0,7.0
22018,201566,0021801072,"MAR 20, 2019",OKC vs. TOR,L,44,16,29,0.552,5,10,0.5,5,8,0.625,2,9,11,6,1,0,9,3,42,-7,1,45.81818181818182,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801072,2019-03-20,OKC vs. TOR,L,265.0,114.0,43.0,103.0,0.417,13.0,43.0,0.302,15.0,29.0,0.517,16.0,32.0,48.0,22.0,6.0,2.0,17.0,22.0,-9.0
22018,201566,0021801038,"MAR 16, 2019",OKC vs. GSW,L,32,2,16,0.125,0,7,0.0,3,4,0.75,0,8,8,9,1,1,4,5,7,-18,1,10.5,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801038,2019-03-16,OKC vs. GSW,L,239.0,88.0,31.0,96.0,0.323,13.0,41.0,0.317,13.0,23.0,0.565,17.0,35.0,52.0,18.0,4.0,5.0,16.0,18.0,-22.0
22018,201566,0021801020,"MAR 14, 2019",OKC @ IND,L,38,8,18,0.444,1,5,0.2,2,2,1.0,1,13,14,11,4,2,4,2,19,-1,1,24.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801020,2019-03-14,OKC @ IND,L,240.0,106.0,38.0,86.0,0.442,14.0,30.0,0.467,16.0,20.0,0.8,8.0,36.0,44.0,24.0,11.0,5.0,17.0,28.0,-2.0
22018,201566,0021801017,"MAR 13, 2019",OKC vs. BKN,W,36,12,23,0.522,4,8,0.5,3,5,0.6,3,9,12,11,3,0,5,3,31,18,1,41.333333333333336,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801017,2019-03-13,OKC vs. BKN,W,240.0,108.0,41.0,96.0,0.427,11.0,28.0,0.393,15.0,19.0,0.789,16.0,35.0,51.0,21.0,9.0,6.0,11.0,20.0,12.0
22018,201566,0021801005,"MAR 11, 2019",OKC @ UTA,W,37,9,19,0.474,2,4,0.5,3,6,0.5,0,11,11,8,1,1,3,2,23,10,1,29.83783783783784,22018,1610612760.0,OKC,Oklahoma City Thunder,0021801005,2019-03-11,OKC @ UTA,W,240.0,98.0,36.0,79.0,0.456,7.0,22.0,0.318,19.0,27.0,0.704,6.0,42.0,48.0,18.0,8.0,5.0,16.0,21.0,9.0
22018,201566,0021800985,"MAR 08, 2019",OKC @ LAC,L,32,12,23,0.522,2,9,0.222,6,8,0.75,0,8,8,7,0,1,1,6,32,-4,1,48.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800985,2019-03-08,OKC @ LAC,L,241.0,110.0,41.0,102.0,0.402,11.0,44.0,0.25,17.0,26.0,0.654,14.0,38.0,52.0,20.0,3.0,7.0,11.0,34.0,-8.0
22018,201566,0021800976,"MAR 07, 2019",OKC @ POR,W,40,14,28,0.5,5,8,0.625,4,6,0.667,1,6,7,3,0,0,8,5,37,1,1,44.400000000000006,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800976,2019-03-07,OKC @ POR,W,265.0,129.0,48.0,105.0,0.457,8.0,27.0,0.296,25.0,32.0,0.781,16.0,42.0,58.0,14.0,7.0,5.0,15.0,31.0,8.0
22018,201566,0021800963,"MAR 05, 2019",OKC @ MIN,L,38,15,28,0.536,5,10,0.5,3,7,0.429,2,11,13,6,0,0,2,3,38,-2,1,48.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800963,2019-03-05,OKC @ MIN,L,239.0,120.0,42.0,94.0,0.447,18.0,46.0,0.391,18.0,31.0,0.581,15.0,30.0,45.0,20.0,4.0,8.0,12.0,26.0,-11.0
22018,201566,0021800951,"MAR 03, 2019",OKC vs. MEM,W,36,7,20,0.35,4,13,0.308,4,6,0.667,2,4,6,5,3,1,4,3,22,-1,1,29.333333333333336,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800951,2019-03-03,OKC vs. MEM,W,242.0,99.0,33.0,93.0,0.355,9.0,30.0,0.3,24.0,33.0,0.727,17.0,36.0,53.0,19.0,10.0,5.0,14.0,19.0,4.0
22018,201566,0021800940,"MAR 02, 2019",OKC @ SAS,L,34,7,17,0.412,1,5,0.2,4,7,0.571,1,8,9,8,1,0,7,2,19,-15,1,26.823529411764707,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800940,2019-03-02,OKC @ SAS,L,240.0,102.0,40.0,88.0,0.455,7.0,29.0,0.241,15.0,24.0,0.625,11.0,34.0,45.0,17.0,7.0,2.0,13.0,19.0,-14.0
22018,201566,0021800927,"FEB 28, 2019",OKC vs. PHI,L,38,8,24,0.333,1,9,0.111,6,9,0.667,0,11,11,11,1,1,4,3,23,-3,1,29.05263157894737,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800927,2019-02-28,OKC vs. PHI,L,241.0,104.0,38.0,87.0,0.437,8.0,27.0,0.296,20.0,28.0,0.714,8.0,36.0,44.0,28.0,5.0,3.0,12.0,18.0,-4.0
22018,201566,0021800910,"FEB 26, 2019",OKC @ DEN,L,36,8,14,0.571,2,5,0.4,4,8,0.5,4,10,14,9,0,0,7,5,22,-16,1,29.333333333333336,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800910,2019-02-26,OKC @ DEN,L,240.0,112.0,43.0,95.0,0.453,10.0,38.0,0.263,16.0,25.0,0.64,14.0,32.0,46.0,31.0,10.0,5.0,17.0,34.0,-9.0
22018,201566,0021800890,"FEB 23, 2019",OKC vs. SAC,L,35,15,30,0.5,5,12,0.417,6,8,0.75,1,9,10,4,1,1,7,5,41,-1,1,56.22857142857143,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800890,2019-02-23,OKC vs. SAC,L,240.0,116.0,40.0,105.0,0.381,14.0,46.0,0.304,22.0,28.0,0.786,16.0,43.0,59.0,17.0,2.0,6.0,14.0,26.0,-3.0
22018,201566,0021800881,"FEB 22, 2019",OKC vs. UTA,W,43,15,29,0.517,6,13,0.462,7,10,0.7,2,13,15,8,2,1,5,6,43,9,1,48.0,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800881,2019-02-22,OKC vs. UTA,W,289.0,148.0,55.0,118.0,0.466,18.0,44.0,0.409,20.0,25.0,0.8,11.0,32.0,43.0,29.0,16.0,5.0,11.0,29.0,1.0
22018,201566,0021800866,"FEB 14, 2019",OKC @ NOP,L,39,18,30,0.6,4,12,0.333,4,4,1.0,3,11,14,11,1,2,5,3,44,-15,1,54.15384615384615,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800866,2019-02-14,OKC @ NOP,L,240.0,122.0,50.0,106.0,0.472,10.0,44.0,0.227,12.0,13.0,0.923,17.0,31.0,48.0,27.0,8.0,6.0,13.0,21.0,-9.0
22018,201566,0021800846,"FEB 11, 2019",OKC vs. POR,W,37,5,19,0.263,1,6,0.167,10,13,0.769,2,12,14,11,1,2,6,4,21,1,1,27.243243243243242,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800846,2019-02-11,OKC vs. POR,W,240.0,120.0,41.0,86.0,0.477,16.0,35.0,0.457,22.0,29.0,0.759,7.0,38.0,45.0,23.0,9.0,7.0,12.0,28.0,9.0
22018,201566,0021800832,"FEB 09, 2019",OKC @ HOU,W,38,8,21,0.381,1,5,0.2,4,5,0.8,0,12,12,11,2,1,10,3,21,2,1,26.526315789473685,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800832,2019-02-09,OKC @ HOU,W,240.0,117.0,40.0,89.0,0.449,13.0,34.0,0.382,24.0,30.0,0.8,12.0,41.0,53.0,20.0,7.0,5.0,19.0,24.0,5.0
